filename,label,x_min,y_min,x_max,y_max
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,szpara ust ograniczona wargami,86,60,425,92
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,przedsionek jamy ustnej - szczelina między,81,106,460,140
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,w sklepieniu w płaszczyźnie pośrodkowej: wędzidełko wargi górnej i dolnej (fałda bł. śl.),85,159,862,187
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,jama ustna właściwa,90,187,289,210
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,błona śluzowa na policzkach (mieszane gruczoły polliczkowe) i wargach,93,203,764,229
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,mieszane gruczoły wargowe,82,226,343,251
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"b.ś. dziąseł, szczęki i żuchwy",387,227,639,264
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,sklepienia,680,234,771,254
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,WARGA,97,272,179,307
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,kąty ust,221,279,302,307
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,cz. śluzowa,265,311,383,330
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,cz. skórna,94,334,195,355
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,cz. pośrednia,204,335,315,362
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"(czerwień wargowa - cienka warstwa nabłonka, gruczoły łojowe)",317,331,888,359
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,łuk podniebienno - językowy,740,65,948,89
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,t. twarzowa,85,431,200,461
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,z. wargowa,89,460,202,484
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,n. twarzowy,86,484,200,522
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,guzek wargi górnej,181,411,358,441
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"bruzda nosowo - wargowa, bruzda bródkowo-wargowa",87,353,600,382
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,ż. twarzowa,316,454,418,479
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,skóra,84,560,140,584
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,POLICZKI,103,528,214,560
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,powięź policz.,239,555,352,587
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,m. policzkowy,459,551,586,590
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,warstwa gruczołów,616,555,797,589
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,błona śluzowa,818,551,963,590
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,brodawka,750,594,840,624
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,czuciowe,415,481,489,505
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"ciało tłuszczowe - między m. policzkowy, żwacz",88,633,499,663
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,przyśrodkowy,557,628,682,670
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"t. twarzowa, t. poprzeczna twarzy, t. szczękowa",91,680,510,710
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,policzkowa,549,678,653,716
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,przebity przewodem ślinianki,396,595,638,627
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,n. twarzowy,90,710,208,734
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,DZIĄSŁA,101,794,212,834
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,powierzchnie: podniebienna / językowa i przedsionkowa (policzkowa),88,836,688,861
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,silne zabarwienie,87,858,252,880
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,wolne,88,879,152,901
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,brodawki międzyzębowe,156,920,359,947
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,nieruchome,395,877,503,905
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,kieszonka dziąsłowa (dno przyczep nabłonkowy),90,957,504,988
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"włókna: okrężne, promieniste (dziąsłowo - zębodołowe), międzyzębowe (pow. styczne)",93,981,761,1010
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,błona śluzowa,91,1035,226,1058
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,blaszka właściwa,251,1068,402,1093
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,wysokie brodawki,259,1090,407,1118
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,pozostałe składowe zawieszają zęby,409,1022,700,1056
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,nabłonek,73,1088,156,1109
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"dziąsło: t. szczękowa, policzkowa, zębodołowe, podniebienna większa",93,1196,711,1221
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"dziąsło: t. językowa t. podjęzykowa, t.twarzowa t. podbrówkowa, t. szczękowa t. zębodołowa dolna",92,1219,1063,1246
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,ż. z odc. tylnego splot skrzydłowy,92,1244,412,1269
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"bardziej powierzchownie,",59,1154,247,1177
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,ż. z odc. przedniego ż. językowa i twarzowa,97,1256,495,1284
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,n. policzkowy (żuchwa po str. przedsionkowej do otworu bródk.),312,1281,802,1306
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,gał. n. trójdzielnego - skóra,107,745,369,777
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,n. trójdzielny -,284,479,415,521
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,mięśnie,209,478,273,508
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,gał. n. podoczodołowego,564,450,764,478
0025c036-4746-4931-9898-9d76fbbfddaa.jpg,"2 fałdy błony śluzowej ż. łuk podniebienno-gardłowy, D: nasada języka)",502,81,1135,111
